iter	Passed	Remaining
0	200	199954
1	265	132687
2	337	112049
3	401	10009344	467	9294255	533	8833666	597	8480677	653	8108488	736	8109399	802	79444110	849	76372111	926	76300112	981	74491113	1043	73461414	1101	72321515	1162	71491616	1209	69941717	1265	69051818	1324	68381919	1377	67512020	1425	66462121	1471	654122	1532	65085
23	1594	64831
24	1644	64152
25	1688	63265
26	1756	63314
27	1815	63012
28	1878	62890
29	1921	62141
30	1984	62035
31	2050	62041
32	2105	61702
33	2165	61533
34	2210	60951
35	2253	60337
36	2296	59772
37	2353	59568
38	2400	59141
39	2459	59027
40	2521	58975
41	2578	58812
42	2645	58873
43	2703	58738
44	2760	58593
45	2811	58310
46	2875	58312
47	2936	58237
48	3004	58319
49	3061	58175
50	3112	57916
51	3167	57753
52	3215	57452
53	3274	57363
54	3333	57283
55	3395	57241
56	3441	56929
57	3508	56983
58	3563	56828
59	3608	56527
60	3666	56443
61	3725	56359
62	3792	56400
63	3848	56284
64	3896	56045
65	3943	55812
66	3999	55692
67	4047	55481
68	4115	55524
69	4166	55352
70	4222	55250
71	4283	55214
72	4336	55066
73	4404	55116
74	4449	54881
75	4502	54742
76	4595	55083
77	4658	55066
78	4726	55097
79	4781	54989
80	4841	54925
81	4898	54835
82	4945	54638
83	4989	54405
84	5045	54308
85	5099	54197
86	5145	54000
87	5211	54010
88	5266	53909
89	5315	53746
90	5373	53673
91	5419	53490
92	5467	53327
93	5510	53116
94	5571	53080
95	5634	53058
96	5699	53061
97	5759	53006
98	5812	52897
99	5857	52719
100	5922	52712
101	5980	52656
102	6035	52562
103	6077	52360
104	6126	52223
105	6185	52165
106	6245	52121
107	6294	51990
108	6335	51785
109	6387	51683
110	6436	51548
111	6495	51500
112	6572	51589
113	6620	51452
114	6673	51354
115	6729	51285
116	6792	51263
117	6847	51178
118	6890	51010
119	6943	50921
120	6990	50779
121	7050	50740
122	7103	50645
123	7153	50536
124	7215	50506
125	7272	50442
126	7327	50370
127	7399	50408
128	7458	50360
129	7502	50210
130	7554	50112
131	7602	49990
132	7661	49945
133	7707	49813
134	7757	49704
135	7801	49564
136	7867	49561
137	7915	49441
138	7972	49385
139	8037	49374
140	8105	49379
141	8161	49311
142	8221	49273
143	8266	49137
144	8310	49001
145	8364	48927
146	8412	48812
147	8466	48741
148	8509	48603
149	8571	48574
150	8622	48479
151	8682	48440
152	8725	48303
153	8788	48278
154	8842	48207
155	8899	48145
156	8959	48110
157	9010	48020
158	9072	47986
159	9123	47900
160	9171	47795
161	9218	47684
162	9265	47579
163	9311	47467
164	9368	47408
165	9412	47289
166	9473	47255
167	9520	47147
168	9583	47123
169	9636	47047
170	9685	46955
171	9732	46850
172	9779	46750
173	9837	46701
174	9898	46663
175	9950	46585
176	9998	46491
177	10059	46454
178	10116	46402
179	10174	46352
180	10238	46327
181	10301	46300
182	10362	46261
183	10412	46177
184	10469	46124
185	10519	46036
186	10551	458711187	10604	458011188	10665	457661189	10708	456501190	10765	455971191	10811	454991192	10860	454111193	10936	454361194	10991	453761195	11044	453041196	11094	452221197	11148	451561198	11206	45109199	11250	45002
200	11308	44953
201	11365	44900
202	11425	44858
203	11473	44771
204	11526	44699
205	11588	44667
206	11658	44661
207	11712	44598
208	11774	44564
209	11835	44524
210	11884	44439
211	11944	44398
212	11991	44306
213	12078	44364
214	12131	44292
215	12199	44281
216	12257	44227
217	12313	44170
218	12372	44121
219	12423	44045
220	12492	44033
221	12542	43954
222	12593	43881
223	12641	43792
224	12699	43742
225	12763	43710
226	12806	43611
227	12856	43532
228	12919	43497
229	12983	43465
230	13043	43422
231	13106	43386
232	13158	43317
233	13212	43251
234	13262	43175
235	13334	43168
236	13381	43079
237	13436	43019
238	13484	42934
239	13531	42850
240	13574	42752
241	13629	42692
242	13671	42589
243	13722	42515
244	13776	42454
245	13826	42377
246	13881	42320
247	13934	42253
248	13982	42172
249	14036	42110
250	14096	42064
251	14153	42010
252	14215	41972
253	14269	41909
254	14314	41820
255	14369	41761
256	14425	41704
257	14484	41656
258	14532	41578
259	14583	41507
260	14631	41428
261	14692	41386
262	14737	41299
263	14786	41224
264	14828	41128
265	14864	41018
266	14920	40961
267	14991	40945
268	15058	40920
269	15116	40869
270	15161	40785
271	15209	40708
272	15268	40659
273	15336	40635
274	15392	40579
275	15455	40543
276	15525	40522
277	15594	40501
278	15648	40439
279	15708	40394
280	15761	40328
281	15819	40277
282	15870	40209
283	15924	40148
284	15980	40092
285	16027	40012
286	16075	39937
287	16121	39856
288	16170	39783
289	16242	39765
290	16302	39719
291	16363	39676
292	16412	39603
293	16454	39513
294	16518	39476
295	16569	39409
296	16621	39342
297	16662	39250
298	16713	39183
299	16761	39110
300	16813	39045
301	16863	38976
302	16900	38875
303	16949	38805
304	17008	38756
305	17061	38695
306	17124	38656
307	17185	38612
308	17233	38537
309	17284	38471
310	17347	38431
311	17393	38354
312	17439	38277
313	17506	38246
314	17570	38209
315	17619	38138
316	17685	38105
317	17745	38057
318	17798	37995
319	17862	37957
320	17915	37895
321	17981	37860
322	18038	37808
323	18081	37726
324	18141	37677
325	18197	37622
326	18246	37553
327	18287	37467
328	18358	37442
329	18410	37378
330	18475	37341
331	18529	37283
332	18578	37212
333	18629	37147
334	18697	37116
335	18753	37061
336	18819	37024
337	18870	36958
338	18932	36915
339	18982	36848
340	19026	36768
341	19076	36701
342	19134	36651
343	19180	36576
344	19228	36507
345	19284	36451
346	19347	36409
347	19389	36326
348	19439	36261
349	19475	36167
350	19535	36121
351	19589	36063
352	19653	36021
353	19702	35953
354	19760	35903
355	19810	35836
356	19854	35759
357	19911	35706
358	19959	35637
359	20009	35571
360	20060	35508
361	20102	35429
362	20165	35386
363	20223	35336
364	20273	35270
365	20327	35212
366	20379	35150
367	20435	35095
368	20482	35025
369	20533	34962
370	20574	34883
371	20625	34818
372	20702	34799
373	20761	34751
374	20813	34688
375	20875	34644
376	20939	34603
377	21000	34557
378	21060	34508
379	21117	34454
380	21186	34421
381	21234	34353
382	21293	34302
383	21357	34261
384	21410	34201
385	21478	34165
386	21539	34117
387	21600	34070
388	21641	33991
389	21708	33953
3390	21747	33872391	21803	33818
3392	21861	337653393	21913	337043394	21972	336533395	22021	33588396	22074	33528
397	22122	33461
398	22175	33402
399	22234	33351
400	22300	33311
401	22364	33269
402	22406	33192
403	22458	33131
404	22514	33077
405	22576	33030
406	22638	32984
407	22702	32940
408	22761	32889
409	22820	32838
410	22859	32759
411	22913	32701
412	22966	32642
413	23016	32579
414	23083	32539
415	23133	32475
416	23183	32411
417	23228	32342
418	23294	32300
419	23349	32243
420	23405	32189
421	23467	32142
422	23512	32072
423	23564	32012
424	23633	31974
425	23681	31909
426	23739	31857
427	23799	31806
428	23860	31757
429	23911	31697
430	23969	31643
431	24024	31588
432	24070	31519
433	24131	31470
434	24170	31393
435	24215	31324
436	24273	31272
437	24327	31215
438	24372	31145
439	24419	31079
440	24471	31019
441	24520	30956
442	24569	30891
443	24616	30826
444	24654	307444445	24703	306844446	24771	30645
447	24830	30594
448	24876	3052444449	24931	30445450	24988	3041454451	25055	30345452	25106	303145453	25160	302545454	25217	302045455	25283	301645456	25345	301145457	25400	300545458	25457	3000454459	25513	299464460	25566	298464461	25627	298462462	25697	298463463	25743	297464464	25813	296465465	25868	296466466	25929	295467467	25991	295468468	26086	29534
469	26139	294470470	26194	294471471	26254	293472472	26321	293473473	26379	29273
474	26447	29231
475	26510	29184
476	26581	29145
477	26643	29095
478	26701	29042
479	26755	28985
480	26809	28927
481	26869	28876
482	26916	28811
483	26981	28765
484	27040	28712
485	27093	28654
486	27152	28601
487	27205	28543
488	27256	28482
489	27301	28415
490	27335	28337
491	27389	28279
492	27457	28237
493	27514	28182
494	27559	28116
495	27609	28054
496	27671	28005
497	27717	27939
498	27773	27884
499	27835	27835
500	27893	27782
501	27962	27739
502	28008	27673
503	28059	27614
504	28135	27578
505	28191	27522
506	28241	27461
507	28295	27404
508	28334	27332
509	28388	27275
510	28450	27225
511	28499	27163
512	28555	27108
513	28613	27054
514	28669	26999
515	28732	26951
516	28777	26884
517	28835	26831
518	28891	26775
519	28962	26734
520	29021	26682
521	29096	26643
522	29146	26582
523	29205	26529
524	29255	26468
525	29320	26421
526	29364	26355
527	29429	26307
528	29489	26255
529	29524	26182
530	29569	26116
531	29639	26073
532	29709	26030
533	29782	25990
534	29850	25944
535	29911	25893
536	29985	25853
537	30052	25807
538	30100	25744
539	30146	25680
540	30209	25630
541	30273	25581
542	30339	25534
543	30388	25472
544	30462	25431
545	30525	25381
546	30584	25329
547	30651	25281
548	30702	25221
549	30766	25172
550	30819	25114
551	30857	25043
552	30910	24985
553	30972	24934
554	31011	24865
555	31051	24796
556	31095	24731
557	31154	24677
558	31218	24628
559	31274	24573
560	31323	24511
561	31363	24443
562	31420	24388
563	31472	24329
564	31527	24273
565	31585	24219
566	31639	24162
567	31683	24096
568	31728	24033
569	31789	23981
570	31837	23919
571	31909	23876
572	31969	23824
573	32016	23761
574	32087	23717
575	32139	23658
576	32183	23593
577	32238	23537
578	32316	23497
579	32370	23440
580	32431	23388
581	32475	23324
582	32530	23267
583	32583	23210
584	32619	23140
585	32680	23088
586	32738	23033
587	32796	22979
588	32865	22933
589	32901	22863
590	32952	228591591	33021	22758
592	33082	22705
593	33142	22652
594	33220	22612
595	33292	22567
596	33346	22510
597	33394	22449
598	33451	22393
599	33521	22347
600	33567	22285
601	33638	22239
602	33683	22176
603	33735	22118
604	33796	22065
605	33856	22012
606	33910	21955
607	33972	21903
608	34018	21841
609	34072	21783
610	34136	21733
611	34189	21675
612	34237	21614
613	34291	21557
614	34360	21509
615	34412	21452
616	34478	21402
617	34530	21344
618	34589	21289
619	34650	21237
620	34706	21181
621	34752	21119
622	34805	21062
623	34857	21003
624	34929	20957
625	34983	20900
626	35043	20847
627	35119	20803
628	35181	20751
629	35246	20700
630	35297	20641
631	35357	20588
632	35419	20535
633	35470	20476
634	35510	20411
635	35549	20346
636	35617	20296
637	35665	20236
638	35737	20189
639	35778	20125
640	35841	20073
641	35903	20020
642	35961	19966
643	36026	19915
644	36084	19860
645	36126	19797
646	36182	19741
647	36246	19689
648	36311	19638
649	36363	19580
650	36425	19527
651	36478	19470
652	36530	19412
653	36577	19351
654	36627	19292
655	36692	19241
656	36747	19184
657	36788	19120
658	36843	19064
659	36899	19008
660	36946	18948
661	36989	18885
662	37049	18832
663	37097	18772
664	37157	18718
665	37282	18697
666	37347	18645
667	37419	18597
668	37479	18543
669	37539	18489
670	37595	18433
671	37673	18388
672	37728	18331
673	37775	18271
674	37826	18212
675	37876	18153
676	37934	18098
677	37993	18044
678	38045	17986
679	38098	17928
680	38148	17869
681	38206	17814
682	38267	17760
683	38343	17714
684	38381	17650
685	38432	17591
686	38489	17535
687	38547	17480
688	38600	17423
689	38649	17364
690	38694	17303
691	38743	17244
692	38806	17191
693	38861	17134
694	38911	17076
695	38959	17016
696	39014	16960
697	39068	16903
698	39113	16842
699	39166	16785
700	39219	16728
701	39281	16674
702	39329	16615
703	39383	16558
704	39453	16509
705	39512	16454
706	39564	16396
707	39612	16337
708	39656	16276
709	39701	16216
710	39752	16158
711	39792	16095
712	39829	16032
713	39888	15977
714	39947	15922
715	40015	15872
716	40076	15818
717	40134	15763
718	40199	15710
719	40265	15658
720	40341	15610
721	40422	15564
722	40484	15510
723	40539	15454
724	40593	15397
725	40657	15344
726	40697	15282
727	40759	15228
728	40826	15177
729	40884	15121
730	40954	15070
731	41012	15015
732	41074	14961
733	41130	14905
734	41197	14853
735	41262	14800
736	41322	14745
737	41379	14690
738	41441	14636
739	41505	14582
740	41562	14527
741	41621	14472
742	41679	14416
743	41738	14361
744	41793	14305
745	41858	14252
746	41940	14204
747	42015	14154
748	42074	14099
749	42123	14041
750	42178	13984
751	42239	13929
752	42288	13871
753	42348	13816
754	42411	13762
755	42484	13711
756	42540	13655
757	42611	13604
758	42693	13556
759	42757	13502
760	42813	13446
761	42873	13390
762	42955	13342
763	43016	13287
764	43068	13230
765	43117	13171
766	43173	13115
767	43241	13062
768	43296	13005
769	43343	12946
770	43390	12887
771	43442	12830
772	43502	12774
773	43565	12720
774	43611	12661
775	43662	12603
776	43713	12545
777	43755	12485
778	43809	12428
779	43863	12371
780	43904	12311
781	43954	12253
782	44021	12200
783	44070	12141
784	44111	12081
785	44152	12021
786	44203	11963
787	44263	11908
788	44323	11853
789	44375	11796
790	44428	11739
791	44490	11684
792	44550	11629
793	44596	11570
794	44642	11511
795	44708	11458
796	44764	11401
797	44831	11348
798	44897	11294
799	44961	11240
800	45007	11181
801	45063	11125
802	45116	11068
803	45174	11012
804	45232	10957
805	45307	10905
806	45360	10848
807	45417	10792
808	45466	10734
809	45525	10678
810	45578	10621
811	45640	10567
812	45696	10510
813	45747	10453
814	45800	10396
815	45855	10339
816	45920	10285
817	45985	10231
818	46031	10173
819	46099	10119
820	46150	10062
821	46211	10006
822	46267	9950
823	46312	9892
824	46366	9835
825	46432	9781
826	46493	9726
827	46547	9669
828	46598	9612
829	46659	9556
830	46720	9501
831	46781	9446
832	46837	9389
833	46892	9333
834	46941	9275
835	46978	9215
836	47025	9157
837	47077	9100
838	47130	9044
839	47192	8989
840	47260	8935
841	47313	8878
842	47361	8820
843	47417	8764
844	47463	8706
845	47516	8649
846	47568	8592
847	47611	8534
848	47681	8480
849	47725	8422
850	47775	8364
851	47837	8309
852	47884	8252
853	47936	8195
854	47984	8137
855	48045	8082
856	48119	8029
857	48171	7972
858	48233	7917
859	48289	7861
860	48352	7806
861	48407	7749
862	48464	7693
863	48510	7635
864	48567	7579
865	48617	7522
866	48656	7463
867	48706	7406
868	48759	7350
869	48814	7294
870	48868	7237
871	48926	7181
872	48985	7126
873	49061	7073
874	49126	7018
875	49177	6961
876	49240	6906
877	49291	6849
878	49341	6792
879	49385	6734
880	49461	6680
881	49504	6623
882	49558	6566
883	49613	6510
884	49669	6454
885	49715	6396
886	49766	6340
887	49824	6284
888	49885	6228
889	49941	6172
890	49991	6115
891	50050	6059
892	50102	6003
893	50157	5947
894	50192	5888
895	50244	5831
896	50296	5775
897	50357	5719
898	50409	5663
899	50459	5606
900	50511	5550
901	50579	5495
902	50627	5438
903	50684	5382
904	50748	5327
905	50798	5270
906	50868	5215
907	50912	5158
908	50956	5101
909	50999	5043
910	51063	4988
911	51122	4932
912	51179	4876
913	51218	4819
914	51261	4761
915	51328	4706
916	51389	4651
917	51449	4595
918	51492	4538
919	51540	4481
920	51587	4424
921	51654	4369
922	51724	4315
923	51784	4259
924	51846	4203
925	51891	4146
926	51939	4090
927	51996	4034
928	52047	3977
929	52096	3921
930	52149	3865
931	52202	3808
932	52256	3752
933	52325	3697
934	52368	3640
935	52429	3584
936	52481	3528
937	52527	3471
938	52578	3415
939	52610	3358
940	52659	3301
941	52705	3245
942	52753	3188
943	52801	3132
944	52849	3075
945	52890	3019
946	52943	2963
947	52985	2906
948	53026	2849
949	53064	2792
950	53105	2736
951	53144	2679
952	53181	2622
953	53214	2565
954	53244	2508
955	53270	2451
956	53312	2395
957	53353	2339
958	53406	2283
959	53456	2227
960	53497	2171
961	53535	2114
962	53584	2058
963	53626	2002
964	53660	1946
965	53704	1890
966	53748	1834
967	53786	1778
968	53828	1722
969	53863	1665
970	53888	1609
971	53914	1553
972	53943	1496
973	53965	1440
974	53990	1384
975	54020	1328
976	54046	1272
977	54074	1216
978	54101	1160
979	54131	1104
980	54161	1048
981	54187	993
982	54214	937
983	54240	881
984	54265	826
985	54285	770
986	54309	715
987	54328	659
988	54342	604
989	54359	549
990	54376	493
991	54395	438
992	54409	383
993	54420	328
994	54433	273
995	54446	218
996	54457	163
997	54471	109
998	54482	54
999	54492	0
